"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that the login form validation works as expected for different cases","652","Test login form validation for empty username","tests","2026-04-26","passed","2026-04-26","TestLogin","Login","",""
"Verify checkout form validation for all possible cases.","210","Test checkout form validation: valid form","tests","2026-04-26","passed","2026-04-26","TestCheckout","Checkout","",""
"Verifies that the inventory items can be sorted by name and price","402","Test inventory items sorting by PRICE_ASC","tests","2026-04-26","passed","2026-04-26","TestInventory","Inventory","",""
"When the user encounters an error message during the checkout process, they should be able to close the message and continue with the checkout flow. This test verifies that the error message can be closed and the checkout process can continue.","423","Test checkout form error message can be closed","tests","2026-04-26","passed","2026-04-26","TestCheckout","Checkout","",""
"Verifies that the login form validation works as expected for different cases","477","Test login form validation for wrong password","tests","2026-04-26","passed","2026-04-26","TestLogin","Login","",""
"Verifies that the inventory items desired count are loaded on the page.","94","Test inventory items load","tests","2026-04-26","passed","2026-04-26","TestInventory","Inventory","",""
"Verifies that the login form validation works as expected for different cases","810","Test login form validation for locked user","tests","2026-04-26","passed","2026-04-26","TestLogin","Login","",""
"Verifies that the inventory items have prices","140","Test inventory items have prices","tests","2026-04-26","passed","2026-04-26","TestInventory","Inventory","",""
"Verifies that a user can log in with valid credentials, add 'Sauce Labs Backpack' to the cart, navigate to the cart page, and verifies the item is present.","161","Test user can add item to cart","tests","2026-04-26","passed","2026-04-26","TestCart","Cart","",""
"Verifies that the inventory items can be sorted by name and price","129","Test inventory items sorting by PRICE_DESC","tests","2026-04-26","passed","2026-04-26","TestInventory","Inventory","",""
"Verifies that the login form validation works as expected for different cases","463","Test login form validation for empty password","tests","2026-04-26","passed","2026-04-26","TestLogin","Login","",""
"Verify checkout form validation for all possible cases.","0","Test checkout form validation: long values","tests","2026-04-26","skipped","2026-04-26","TestCheckout","Checkout","",""
"Verifies that the inventory items have names","270","Test inventory items have names","tests","2026-04-26","passed","2026-04-26","TestInventory","Inventory","",""
"Verifies that the login form validation works as expected for different cases","268","Test login form validation for wrong password","tests","2026-04-26","passed","2026-04-26","TestLogin","Login","",""
"Verifies that the user can see the inventory items on the page.","104","Test user can see inventory items","tests","2026-04-26","passed","2026-04-26","TestInventory","Inventory","",""
"Verifies that the inventory items can be sorted by name and price","301","Test inventory items sorting by NAME_ASC","tests","2026-04-26","passed","2026-04-26","TestInventory","Inventory","",""
"Verifies that the login form validation works as expected for different cases","276","Test login form validation for empty password","tests","2026-04-26","passed","2026-04-26","TestLogin","Login","",""
"Verify checkout form validation for all possible cases.","328","Test checkout form validation: empty first name","tests","2026-04-26","passed","2026-04-26","TestCheckout","Checkout","",""
"Verify checkout form validation for all possible cases.","233","Test checkout form validation: empty last name","tests","2026-04-26","passed","2026-04-26","TestCheckout","Checkout","",""
"Verifies that the inventory items desired count are loaded on the page.","256","Test inventory items load","tests","2026-04-26","passed","2026-04-26","TestInventory","Inventory","",""
"Verify checkout form validation for all possible cases.","0","Test checkout form validation: all fields spaces","tests","2026-04-26","skipped","2026-04-26","TestCheckout","Checkout","",""
"Verifies that the inventory items can be sorted by name and price","134","Test inventory items sorting by PRICE_ASC","tests","2026-04-26","passed","2026-04-26","TestInventory","Inventory","",""
"Verify checkout form validation for all possible cases.","1","Test checkout form validation: long values","tests","2026-04-26","skipped","2026-04-26","TestCheckout","Checkout","",""
"Verifies that the login form validation works as expected for different cases","446","Test login form validation for locked user","tests","2026-04-26","passed","2026-04-26","TestLogin","Login","",""
"Verifies that the user can see the inventory items on the page.","265","Test user can see inventory items","tests","2026-04-26","passed","2026-04-26","TestInventory","Inventory","",""
"Verifies that the inventory items can be sorted by name and price","142","Test inventory items sorting by NAME_DESC","tests","2026-04-26","passed","2026-04-26","TestInventory","Inventory","",""
"Verifies that the login form validation works as expected for different cases","298","Test login form validation for valid user","tests","2026-04-26","passed","2026-04-26","TestLogin","Login","",""
"Verify checkout form validation for all possible cases.","184","Test checkout form validation: all fields empty","tests","2026-04-26","passed","2026-04-26","TestCheckout","Checkout","",""
"Verifies that the login form validation works as expected for different cases","279","Test login form validation for empty username","tests","2026-04-26","passed","2026-04-26","TestLogin","Login","",""
"Verify checkout form validation for all possible cases.","335","Test checkout form validation: empty last name","tests","2026-04-26","passed","2026-04-26","TestCheckout","Checkout","",""
"Verify checkout form validation for all possible cases.","239","Test checkout form validation: empty postal code","tests","2026-04-26","passed","2026-04-26","TestCheckout","Checkout","",""
"Verify checkout form validation for all possible cases.","0","Test checkout form validation: all fields spaces","tests","2026-04-26","skipped","2026-04-26","TestCheckout","Checkout","",""
"Verifies that the inventory items can be sorted by name and price","132","Test inventory items sorting by NAME_ASC","tests","2026-04-26","passed","2026-04-26","TestInventory","Inventory","",""
"Verifies that the inventory items have prices","390","Test inventory items have prices","tests","2026-04-26","passed","2026-04-26","TestInventory","Inventory","",""
"Verify checkout form validation for all possible cases.","339","Test checkout form validation: valid form","tests","2026-04-26","passed","2026-04-26","TestCheckout","Checkout","",""
"Verifies that a user can log in with valid credentials, add 'Sauce Labs Backpack' to the cart, navigate to the cart page, and verifies the item is present.","95","Test user can add item to cart","tests","2026-04-26","passed","2026-04-26","TestCart","Cart","",""
"Verify checkout form validation for all possible cases.","315","Test checkout form validation: all fields empty","tests","2026-04-26","passed","2026-04-26","TestCheckout","Checkout","",""
"Verifies that the login form validation works as expected for different cases","466","Test login form validation for wrong username","tests","2026-04-26","passed","2026-04-26","TestLogin","Login","",""
"When the user encounters an error message during the checkout process, they should be able to close the message and continue with the checkout flow. This test verifies that the error message can be closed and the checkout process can continue.","225","Test checkout form error message can be closed","tests","2026-04-26","passed","2026-04-26","TestCheckout","Checkout","",""
"In order to complete the checkout process, the user must provide valid information and proceed through the checkout steps. This test verifies that the checkout flow works as expected for a valid checkout form.","223","Test checkout happy path flow","tests","2026-04-26","passed","2026-04-26","TestCheckout","Checkout","",""
"In order to complete the checkout process, the user must provide valid information and proceed through the checkout steps. This test verifies that the checkout flow works as expected for a valid checkout form.","407","Test checkout happy path flow","tests","2026-04-26","passed","2026-04-26","TestCheckout","Checkout","",""
"Verify checkout form validation for all possible cases.","208","Test checkout form validation: empty first name","tests","2026-04-26","passed","2026-04-26","TestCheckout","Checkout","",""
"When the user encounters an error message during the login process, they should be able to close the message and try again. This test verifies that the error message can be closed.","312","Test login form error message can be closed","tests","2026-04-26","passed","2026-04-26","TestLogin","Login","",""
"Verifies that the login form validation works as expected for different cases","532","Test login form validation for valid user","tests","2026-04-26","passed","2026-04-26","TestLogin","Login","",""
"Verifies that the inventory items have names","106","Test inventory items have names","tests","2026-04-26","passed","2026-04-26","TestInventory","Inventory","",""
"Verifies that the inventory items can be sorted by name and price","306","Test inventory items sorting by PRICE_DESC","tests","2026-04-26","passed","2026-04-26","TestInventory","Inventory","",""
"Verify checkout form validation for all possible cases.","346","Test checkout form validation: empty postal code","tests","2026-04-26","passed","2026-04-26","TestCheckout","Checkout","",""
"Verifies that the inventory items can be sorted by name and price","290","Test inventory items sorting by NAME_DESC","tests","2026-04-26","passed","2026-04-26","TestInventory","Inventory","",""
"Verifies that the login form validation works as expected for different cases","282","Test login form validation for wrong username","tests","2026-04-26","passed","2026-04-26","TestLogin","Login","",""
"When the user encounters an error message during the login process, they should be able to close the message and try again. This test verifies that the error message can be closed.","493","Test login form error message can be closed","tests","2026-04-26","passed","2026-04-26","TestLogin","Login","",""
